EU	ue
Heath	heath
MOZAMBIQUE	mozambique
MAPUTO	maputo
story	relato
Mozambican	angoleño
NOTICIAS	telenoticias
Nhamavila	sandoval
Maputo	maputo
Noticias	telenoticias
Lamonts	borden
Apparel	ropa
files	archivos
reorganization	reorganización
18:00	uber
KIRKLAND	kirkland
Wash	wash
apparel	ropa
filed	dictaminó
Unsecured	póliza
bondholders	bonos
4.05	burló
5.67	​​de
creditors	acreedores
Between	entre
3.13	sos
unsecured	débito
non-trade	comercio
existing	existentes
Bondholders	acreedores
capitalization	capitalización
reaches	alcanza
entitling	otorgamiento
Management	management
dilution	dilución
Passengers	pasajeros
blazing	blazing
ferry	ferry
safely	sigilosamente
Guernsey	guernsey
Trident	trident
Emeraud	delphine
boats	embarcaciones
88-year-old	sinclair
Jersey	jersey
cluster	clúster
British-ruled	dictaminó
north-west	oeste
voting	votación
Schork	rabe
municipal	municipal
nationwide	teletón
balloting	escrutinio
irregularities	irregularidades
assemblies	asambleas
Tomorrow	tomorrow
Provisional	provisional
Election	elecciones
consider	considerar
Agota	susi
Kuperman	grossman
select	seleccionar
cancell	cancelación
specify	especificar
organise	organizar
rule-making	moratoria
600,000	resto
electorate	electorado
PEC	pec
Balloting	escrutinio
citizens	ciudadanos
slated	previsto
cantonal	cantonal
Moslem-Croat	mosley
parliaments	parlamentos
Representatives	representantes
three-man	dos
Presidency	presidencia
Dnevi	beograd
Avaz	nik
SDA	cmi
municipal-level	municipal
Frowick	wallingford
Ambassador	embajador
allege	alegar
systematically	sistemáticamente
discouraged	desaconsejado
registering	registrar
cast	elenco
ballot	papeleta
majorities	mayorías
43-month	mes
underpopulated	subcategorías
cleansing	limpieza
Diplomats	diplomáticos
pivotal	crucial
consolidating	reorganizando
voter	votantes
herald	herald
multi-ethnicity	étnica
Bosia-Hercegovina	savi
Soren	meghan
Jessen-Petersen	petersen
Special	especial
Envoy	embajador
High	alta
run-up	run
nationalistic	ideología
sectarian	sectaria
card	tarjeta
drumming	rítmico
constituencies	circunscripción
memories	recuerdos
tougher	duras
Alastair	alastair
Macdonald	campbell
abandon	abandonar
sobering	inquietante
appointed	nombrado
heady	efervescencia
wrap	wrap
compromise	consenso
settlement	asentamiento
insistence	insistencia
chain-smoking	fumar
paratroop	paracaidistas
deadpan	hilarante
putdowns	provocaciones
knack	genial
arrange	concertar
ambitious	ambicioso
pledging	prometiendo
conclude	conclusión
Saying	diciendo
pro-war	guerra
schemers	desenmascarar
empty-handed	vacía
Viktor	viktor
Chernomyrdin	yanukóvich
undisclosed	rescisión
meanwhile	entretanto
departments	departamentos
Speculation	especulaciones
limb	extremidades
hardly	algo
reelection	reelección
criticising	criticando
pains	dolor
insist	insistir
suddenly	repentinamente
profited	benefició
inadequacy	carencia
risked	arriesgó
face-saving	caras
acceptable	aceptable
letting	dudando
quit	abandonó
Federation	federación
encourage	fomentar
tendencies	tendencias
Caucasus	cáucaso
Yastrzhembsky	putin
Yastrezhembsky	medvédev
offical	oficial
recover	recuperarse
receives	recibe
packet	packet
Yugo	zagato
Zastava	zastava
factory	fábrica
wages	salarios
revive	revivir
stubborn	terco
strength	tenacidad
persist	persisten
Dragutin	uroš
Stanojlovic	radovan
revival	revival
consumed	consumido
pre-war	guerra
Montenegro	montenegro
Kragujevac	kragujevac
bitterness	amargamente
stirring	empapado
Late	mediados
branch	rama
exaggerated	exagerados
passers	transeúntes
Gordana	ilija
Kukic	nikolić
+381	kl
222	bcs
4254	prism
9.1	lucho
lenders	prestamistas
trim	salpicadero
10.0	mcc
Insurers	aseguradoras
five-10	siete
Zagreb	zagreb
Money	dinero
settlements	asentamientos
shrank	disminuyó
meagre	exiguo
5.5	wilde
Supply	suministro
Overnight	horas
calculated	information
midrates	tasas
5.2420	wai
3.5486	ii»
Kolumbina	gerygone
Bencevic	grimau
385-1-4557075	mester
SVCD	flac
controllers	controladores
Bulatka	milovan
Raichev	sorokin
1,380	nei
technicians	técnicos
paralyse	paralizar
Far	lejos
Valkov	sokolov
charter	charter
carries	lleva
resorts	resorts
minimal	mínimo
servicing	facturación
lock-out	locke
230	enlacealartículo
separation	separación
Liliana	marianela
Semerdjieva	gori
Naina	raina
satisfactory	satisfactorio
Tass	tur
Clinical	clínicos
treats	admite
Mrs	mrs
Mironov	popov
permanent	permanente
daughters	hijas
run-off	interlagos
eye	ojo
Mostostal	fotbalový
Z	z
Holding	manos
25-	seudo
million-zloty	milli
convertible	convertible
Piotr	karol
Grabowski	kowalski
10-session	sesión
premium	premium
Grabowksi	raab
paying	pagando
benchmark	benchmark
52-week	wired
PBR	cmp
1.6	gr
exchanged	intercambiado
2.6	ager
book-building	wilding
proceeds	invierte
modernise	modernizar
+48	/
653	landis
9700	ː
Unknown	desconocida
kidnaps	rapta
JOSE	jose
Kidnappers	captores
Humberto	gilberto
Hueite	feldespato
Zyrecha	meche
Jetty	embarcadero
Kors	blass
Misael	misael
Valerio	roselli
kidnappers	captores
fleeing	huyendo
Preliminary	preliminares
Altamira	altamira
Wisinga	grote
Aguas	tequendama
Zarcas	perucho
Rica-Nicaragua	nicaragua
Unconfirmed	confirmadas
Santa	santa
Pocosol	lacandona
supposedly	supuestamente
tourist	turística
guide	guía
Regula	tabula
Susana	marianela
Siegfried	siegfried
Nicola	nicola
Fleuchaus	schäffer
bizarre	extraña
twist	ruleta
Julio	rogelio
Cesar	cortez
Rojas	hernández
sentimental	intimista
attachment	sujeción
photographs	fotografías
Rican	puertorriqueño
Interacciones	landívar
ups	ups
lowers	aumenta
peso	dólar
brokerage	negocio
4.3	landis
projection	proyección
Economist	economista
Alonso	alonso
Cervera	cervera
revisions	revisiones
chiefly	principalmente
fueled	impulsado
6.1	moa
Q4	nid
year-end	años
7.85-8.15	rapto
8.20-8.50	mensa
9.20-9.40	amm
25.8	pf
Fiscal	endeudamiento
loosened	rígida
boosting	potenciando
commitments	compromisos
schemes	esquemas
debtors	deudores
Tricks	trucos
+525	–el
728-9560	tb
Bancomext	scotiabank
appreciation	aprecio
drop-off	baje
Moreno	morán
Turrent	getz
promotion	promoción
importers	exportadores
dlrs	allianz
1,044	–el
dollar-buying	scarpa
1,041	–el
wire	alambre
transfers	transferencias
accumulated	acumulado
Contributing	contribuyendo
greenbacks	bonos
shy	tímido
typical	típico
month-end	meses
position-squaring	posición
helps	ayudan
limit	limit
Dealers	compradores
142	rect
intra-day	intra
1,037	tas
Guillermo	rafael
Londono	londres
571	þ
610	nuevo
7944	ate
Hashimoto	hashimoto
Ryutaro	naoto
Brasilia	brasilia
10-day	día
Latin	latino
underwent	sufrió
correct	correcta
compression	compresión
Johns	johns
Hopkins	hopkins
inflamation	contraproducente
drown	ahogarse
Venezuelan	venezolano
boating	pesca
MARACAIBO	maracaibo
sank	hundió
Lake	lago
Maracaibo	maracaibo
Zarraga	polanco
nighttime	nocturno
spin	spin
sinking	hundimiento
stern	stern
lifejackets	salvavidas
Banco	banco
inject	inyectar
3.412	laz
pesos	pesos
secondary	secundarias
credit	crédito
auctions	subastas
AMOUNT	cantidad
TERM	término
1.206	i»
1.000	teo
525	–el
728-9559	puch
unidentified	desconocido
collides	colisionó
Fifteen	quince
suburban	suburbano
street-level	nivel
ambulance	ambulancia
Transport	transporte
pylons	pilones
a.m	ob
derailed	descarrilamiento
rear	trasera
overturned	dictaminó
spilling	vertiendo
careered	tropezó
Bell	bell
Station	estación
Remarkably	sorprendentemente
nasty	grosero
gunman	tiroteo
AUCKLAND	auckland
1996-08-27	ladrido
hunted	cazado
Shore	bahía
Sergeant	sargento
Pearson	pearson
Fagan	ferguson
telephoned	comunicó
distraught	enojada
cooperating	cooperar
Northcote	palmerston
sheds	galpones
16-year-old	sinclair
onlookers	muchedumbre
disarm	desarmar
473-4746	lom
fugitive	fugitivo
gun	gatling
unsuccessful	fracasó
disturbed	perturbado
SIMEX	noc
Brent	brent
IPE	cpi
SINGAPORE	singapur
U.K.	mistral
keeps	arregla
Petroleum	petróleo
Contracts	contratos
mutually	mutuamente
contracts	contratos
+65	​​de
870	uber
3081	lw
slides	diapositivas
3.31	anka
S$	yuanes
5.85	pew
0120	foe
357,000	uber
topped	cima
soaring	aleteo
1.55	iac
6.05	moy
takeover	liquidación
8703080	cicero
operators	operadores
Spot	proxima
2,342.0	bcs
42.5	spiro
0915	nominales
ample	suficiente
liquidity	liquidez
2,342.00	bcs
42.45	moa
2,341.5	rix
42.0	bcs
respectively	respectivamente
deposed	depuesto
PDI	pdi
sued	demandó
ousting	derrocaron
adjourned	asamblea
out-of-court	montmorency
lawyers	abogados
discussing	discutiendo
diminish	mermar
0.45	jarre
tom	tom
18.0	galo
18.5	nuevo»
34.0	ob
35.0	ux
52.75	wilde
53.50	público»
107.0	moy
2,337	ula
2,455	drang
Arlen	arlen
Specter	reaper
resign	dimitir
Riyadh	riad
Oman	omán
Dhahran	basora
airmen	aviadores
Crown	corona
Abdullah	abdullah
Jeddah	jeddah
shake-up	tetera
Pentagon	pentágono
Pennsylvania	pennsylvania
Director	director
Freeh	rumsfeld
entirely	enteramente
Hijacked	secuestrado
LARNACA	larnaca
Airways	airways
refuelling	reabastecimiento
Airbus	airbus
refuelled	repostar
surrender	rendición
asylum	asilo
dozens	docenas
U.S.-brokered	negociar
cooperate	cooperar
offensive	ofensivas
dividing	dividiendo
warring	reversiones
Salahuddin	hadi
Rawandouz	sabah
indiscriminately	indiscriminadamente
Dayana	dayana
priest	sacerdote
protected	protegido
Amr	amr
Moussa	moussa
consequences	consecuencias
ransacks	asaltados
Bedouin	beduinos
AL-MUNTAR	hamza
ransacked	saqueado
encampment	campamento
expel	expulsar
expansion	expansión
necklace	collar
daughter-in-law	hija
rummaging	quicio
luggage	equipaje
destroying	destruyendo
shacks	galpones
barns	establos
jeeps	jeeps
shack	saloon
Amina	leila
miracle	milagro
Bedouins	beduinos
encamped	acampó
zone	zona
Lerner	lerner
pursuing	persiguiendo
desolate	desolado
Dead	muerto
metals	metales
premiums	cuotas
COMEX	mastercard
Premium	premium
works	obras
Aluminum	aluminio
grade	grado
3.25-3.75	renewal
A7E	xxxx
A0	cio
nominal	nominal
2.00-2.25	—actual
Zinc	zinc
SHG	ppp
5.50-6.00	tartamudo
Lead	lead
3.50-4.00	caló
Tin	estaño
Grade	grado
6.5-8.5	rix
ppm	ppm
9.0-10.5	foe
Nickel	níquel
melting	derretimiento
9.0-12.0	foe
Copper	cobre
cathode	cátodo
2.50-3.0	bcs
alloy	aleación
A380	probe
Midwest	midwest
65-66	wf
Cast	elenco
Turnings	extremos
Mixed	mixtas
low-copper	cobre
clips	clips
No2	hanga
Refined	refinado
No1	tocumen
Bare	retazos
Bright	brillante
Burnt	quemado
batteries	baterías
6.0	spiro
Producer	productor
transaction	transacción
Alcan	copper
aluminum	aluminio
P1020	gg
ingot	lingotes
extrusion	extrusión
billet	chapas
Noranda	quebec
date:August	fecha
RSR	amg
pure	pura
Doe	doe
Run	run
ASARCO	mining
859	kurzweil
1646	↔
FORT	fort
LAUDERDALE	lauderdale
Fla.	bandera
backyard	cobertizo
nervous	nervioso
teasing	bromas
Parkway	parkway
younger	hermano
brothers	hermanos
bedtime	bedtime
tree	árbol
paramedics	paramédicos
Broward	broward
Sheriff	sheriff
stool	taburete
flashlight	encendedor
CBOT	wabc
bounce	rebotar
oversold	adquisitivo
remains	permanece
450	ivb
cwt	whitworth
10.28	teo
312-408-8721	nomos
Talbott	talbot
Strobe	leds
Ottawa	ottawa
second-ranking	segundos
Georgy	gueorgui
Mamedov	rustam
pattern	patrones
consultations	asesoramiento
calendar	calendario
fairly	bastante
Haiti	haití
hog	puerco
1.50	teo
sparked	suscitó
packers	packers
Iowa	iowa
59.50	granjeó
60.00	josías
Illinois	illinois
matching	ajustando
59.00	hj
57.50	asap
58.00	vo
hogs	cerdos
Attempts	intentos
marketings	marketing
Producers	productores
ship	buque
Demand	demanda
prepares	prepara
Janis	janis
312-983-7347--	uber
Gore	gore
presents	presenta
Posner	posner
mild-mannered	irónicamente
meek	meek
Al	arabi
front-line	línea
Newt	newt
Gingrich	mccain
Convention	convención
renominate	nominarlo
Crowds	multitudes
anxiously	impaciente
thrusting	agarre
grip	agarre
scream	scream
wishful	descabellado
re-election	jac
15-hour	horas
marshal	mariscal
pro-Israel	israel
stiff	floja
transformed	transformado
energetic	enérgico
gesturing	gestos
pol	pol
ripped	destrozado
favorite	favorito
foil	florete
roaring	roaring
labor	trabajadores
personifaction	compass
evil	malvado
mentioning	mencionando
Housing	vivienda
Kemp	owen
ignorance	ignorancia
audacity	audacia
two-headed	cabecilla
monster	monstruo
whoops	susúrrame
downtown	downtown
48-year-old	sinclair
taste	gusto
coalition	coalición
Noting	señalando
justice	justicia
nominations	nominaciones
painted	pintado
horrors	horrores
Republicans	republicanos
liberties	libertades
withering	podredumbre
vine	vine
Education	educación
polluters	descontaminación
productive	productivo
vision	visión
lifts	arnés
builds	construye
re-elect	elección
deja-voodoo	voodoo
economics	sociología
warmed-over	amante
ditch	zanja
ridiculed	ridiculizado
defense	defensa
praised	elogió
courage	coraje
regulations	regulaciones
dairy	lácteos
comparison	comparación
tolerate	tolerar
milk	leche
aloft	volando
inflated	inflado
vetoing	veto
repeal	derogación
Act	act
criticized	criticado
slashing	blandiendo
starker	stern
stakes	stakes
Actor	actor
Reeve	salinger
mix	mix
adversity	adversidad
latter	éste
advocate	partidario
politicians	políticos
Rep	rep
Gephardt	mcgovern
Daschle	mccain
Here	aquí
thumbnail	thumb
profiles	perfiles
speakers	hablantes
Reagan	reagan
passage	pasaje
Handgun	pistola
campaigned	apoyó
nonstop	nonstop
1981	tas
requires	requiere
mandatory	obligatoria
five-day	siete
handguns	pistolas
mandates	conformidad
background	#c
checks	chequeo
would-be	piensas
purchasers	compradores
Hinckley	hinckley
brain	cerebro
congressmen	congresistas
comic	comic
hero	héroe
Superman	superman
movies	películas
heroics	hazañas
accomplished	consumado
horses	caballos
shattered	añicos
neck	cuello
vertebrae	vértebras
horse	caballo
equestrian	ecuestre
Culpepper	blount
paralyzed	paralítico
extensive	extensa
fuse	ignición
spine	extremidades
semi-upright	izquierdos
classically	clásicamente
prototypical	paradigmático
handsome	apuesto
performed	cantado
soap	sitcom
operas	óperas
plucked	frotada
sequels	secuela
Mr	mr
ambitions	ambiciones
milkman	barman
consummate	consumado
congressional	congresistas
insider	insider
sufficiently	suficientemente
legislature	legislatura
often-unruly	menudo
Republican-led	republica
Republican-written	republicano
advocated	abogó
deficits	déficits
abortion	aborto
red-haired	rizado
square-jawed	cuadrada
fiery	ardiente
orator	orador
nomination	nominación
recreated	recreado
firebreathing	respiración
reformer	reformador
Dakota	dakota
surprisingly	sorprendentemente
presented	presentado
moderate	moderada
Concern	preocupación
steamrollered	desprevenido
vastly	enormemente
dispelled	abrumado
outmaneuvering	maniobrar
scrapping	desguace
gas	gas
prairie	prairie
legislation	legislación
protecting	protegiendo
compensating	compensando
sickened	conmocionado
Agent	agente
Orange	orange
defoliant	fumigación
spraying	fumigación
Vietnam	vietnam
healthcare	salud
water-carrier	barrera
Republican-initiated	iniciado
adult	adultos
Force	fuerza
adoptive	adoptiva
DALLAS	dallas
Dallas	dallas
McCullough	flanagan
gunshot	balazo
Oklahoma	oklahoma
shotgun	escopeta
handgun	pistola
arguments	argumentos
recomposed	compondría
KARACHI	islamabad
Karachi	mumbai
KSE	bp
KSE-100	sogecable
capitalisation	capitalización
82.3	●
79.9	pah
9221-5685192	medió
NWE	bie
dulls	reflejos
becalmed	encallado
Repsol	repsol
Puertollano	puertollano
refinery	refinería
functioning	funcionamiento
Manuel	manuel
Prieto	prieto
Gasoline	gasolina
notionally	nominalmente
sagging	adelgazamiento
NYMEX	nasdaq
arbitrage	liquidez
Eurograde	grade
barges	barcazas
207	ob
fob	swat
ARA	ara
Amsterdam-Rotterdam	amsterdam
sentiment	sentimiento
Outright	rotundamente
heating	calefacción
Oil	petróleo
400,000	principal
0-50	cur
bearish	divisas
listless	irritable
bids	ofertas
scarce	escasez
Shaxson	greenspan
8167	ton
Prairies	praderas
frost	frost
WINNIPEG	toronto
anywhere	exactamente
grainbelt	molson
Environment	ambiente
Apparently	parecer
Alberta	alberta
meteorologist	meteorólogo
Gerald	gerald
Machnee	alef
Sprague	sprague
Manitoba	manitoba
39.2	agg
2.0	mcc
5.0	sco
windspeed	km/h
sky	sky
moisture	humedad
Freezing	congelación
32.0	pogo
Battleford	ontario
Sask	saskatchewan
41.0	thaddeus
Grande	rio
Prairie	prairie
Alta	anza
44.6	ob
proponents	proponentes
moon	luna
12.0	moy
30.0	bcs
Gras	gras
204	flop
947	tola
3548	cachún
Brush	tiza
beryllium	berilio
lawsuits	litigios
producer	productor
pro-active	ciap
workplace	laboral
ailment	dolencia
affects	afecta
immune	inmune
susceptible	susceptibilidad
remaining	restantes
suits	trajes
liability	insolvencia
typically	normalmente
covered	cubierto
Timothy	timothy
Reid	reid
filings	cuentas
Beryllium	berilio
1990-95	gei
vigorously	vigorosamente
18-7/8	leo
216-579-0077	fio
Salomon	salomon
refiner	refinación
Q3	ob
Ting	ting
refiners	refinación
refining	refinación
margins	márgenes
third-quarter	final
Diamond	diamantes
Shamrock	shamrock
0.38	fel
0.73	ob
versus	versus
0.63	ob
0.85	flew
Tosco	caviglia
0.95	ava
1.03	gara
0.94	hepburn
0.46	e/
0.33	kz
Valero	valero
Energy	energía
0.27	ms
PRESALE	mastercard
Marion	marion
3,250,000	cu
09/04/96	avg
NYC	nyc
Time	tiempo
1200	trans
CUSIP	adr
569399	sagi
ISSUER	crediticia
WV	wv
STAT:Exempt-ULT	state
M	m
SP	sp
NA	na
BOOK	libro
ENTRY	entrada
Y	ruz
ENHANCEMENTS	mejoras
None	ninguno
BANK	banco
QUAL	qual
DTD	rtf
09/01/96	cop
SURE	equivoco
DUE	debido
5/1/98-02	ccm
SR	sr
MGR	sdb
CPN	pcn
05/01/97	gru
CALL	ot
Non-Callable	llamar
NIC	nic
DELIVERY	tarificación
9/17/96	dsb
approx	aproximadamente
ORDERS	órdenes
PAYING	pagando
AGENT	agente
WesBanco	abn
Fairmont	fairmont
L.O.	alpert
Steptoe	tennant
Clarksburg	germantown
Ferris	baxter
Watts	watts
Charleston	charleston
7,330,000	fas
MBIA	asec
3/1/90	trans
@	@
6.14900	ava
4yrs	gbr
4mos	cmos
Avg	avg
BBI-7.27	nist
Coupon	cupón
Yield	obtenerse
Conc	moles
575,000	gr
610,000	enlacealartículo
650,000	inri
685,000	eos
730,000	principal
COMPETITIVE	competitivo
PRE-SALE	compra
CONTRIBUTED	contribuido
J.J.	finta
KENNY	kenny
K-SHEETS	sobres
BALANCE	equilibrar
refunding	reembolso
290,000	cavia
STATE	estatal
OHIO	ohio
RE	re
70,375,000	cicero
BUILDING	edificio
AUTHORITY	autoridad
FACILITIES	instalaciones
REFUNDING	reembolso
REPRICING	precios
ACCOUNT	sospecho
9,215,000.00	balrog
OCASEK	portnoy
GOVERNMENT	gobierno
OFFICE	office
A1	þ
AA-	aaa
FITCH	fitch
CONFIRMED	confirmado
Delivery	envíos
08/29/1996	voi
Maturity	madurez
List	lista
10/01	nin
1998C	●
125M	río»
4.20	prestige
6,045,000.00	oi
VERN	vern
RIFFE	plagado
CENTER	centro
1998D	●
165M	ij
290M	courier
A.G.	pk
Sons	hijos
Banc	casación
S.B.K-	thorndike
Investment	inversiones
Seasongood	buffaloes
Mayer	mayer
CHILLICOTHE	peoria
shielded	aísla
whistlestop	caribou
rode	corrió
rails	raíles
ropelines	valmont
shaking	agitando
excited	excitado
Hillary	hillary
Rodham	clinton
Huntington	huntington
rigorous	rigurosa
Sidwell	slattery
Friends	amigos
renominated	nominarlo
lady	lady
interested	interesado
drifted	viró
depressed	deprimido
AEX	fma
4.54	juno
556.19	—ya
Stocks	divisas
topping	bubbling
1.90	ort
58.70	teo
IHC	mcc
Caland	frisch
2.40	bozo
80.70	tru
34.9	cpr
36.6	scd
37.5	ob
47.2	quadra
ex-dividend	dividendo
0.60	memo
52.90	axa
Nutricia	nutricionista
shrugged	demoledor
ex-div	imagen_marca_loc
soar	volar
4.10	finale
214.40	soli
18.40	satur
210.00	casagrande
Engineering	ingeniería
Stork	cornudo
follow-through	través
Fokker	fokker
short-lived	corto
51.00	jon
Tapie	perrot
Claude	claude
Lelouche	juste
stars	estrellas
Philippe	philippe
Seguin	leduc
resigning	renunció
eject	succionar
bankrupt	bancarrota
thus	consecuentemente
ineligible	elegible
blizzard	blizzard
now-destroyed	destruido
starring	protagonizada
Homme	orgue
femmes	femmes
mode	modos
d'emploi	profeso
instructions	instrucciones
power-hungry	potencia
cruel	cruel
comedy	comedia
dearly	importarle
mixing	mezclador
careers	carrera
artist	artista
Toubon	césaire
ejecting	eyección
stripping	removiendo
procedure	procedimiento
reconvene	reunirse
suspend	suspender
judgement	juicio
immunity	inmunidad
courts	tribunales
rigging	aparejos
appealing	atrayente
drains	drenan
Ffr	chf
drained	drenado
francs	liras
securities	crediticia
repurchase	recompra
allocate	asignar
